timestamp,author,project,dataset,data_hash,data_source,best_model,optimal_k,test_size,random_state,test_accuracy,test_f1,test_precision,test_recall,test_roc_auc,weighted_f1,calib_dev
2026-05-27T20:39:06.853246,Ali Ahmad,DecodeLabs AI Project 2,"Iris (150 samples, 4 features, 3 classes)",67037d1d5dd80fe8...,huggingface,SVM,3,0.2,42,0.9667,0.9666,0.9697,0.9667,0.9967,0.9599,0.099
2026-05-27T20:39:37.320620,Ali Ahmad,DecodeLabs AI Project 2,"Iris (150 samples, 4 features, 3 classes)",67037d1d5dd80fe8...,huggingface,SVM,3,0.2,42,0.9667,0.9666,0.9697,0.9667,0.9967,0.9599,0.099
